transaction_id,transaction_date,transaction_time
1,2010-05-06,6:54:56
2,1995-06-16,8:38:26
3,1995-03-28,19:52:17
4,2022-06-10,7:40:02
5,1994-02-28,16:34:54
6,2014-02-23,3:21:56
7,2017-08-29,15:38:22
8,2005-12-06,10:00:24
9,2005-08-25,6:25:56
10,2004-07-11,16:14:26
11,2005-01-21,18:17:01
12,1996-07-30,20:54:28
13,2006-06-04,1:27:07
14,1993-10-13,22:45:05
15,2020-11-21,22:40:44
16,2021-12-06,8:36:13
17,2000-05-15,9:59:31
18,2022-10-20,3:32:08
19,1995-07-07,17:51:15
20,2007-08-02,18:08:52
21,2015-10-24,7:47:16
22,2006-10-18,23:04:29
23,2022-07-31,12:01:39
24,2016-04-15,16:03:19
25,2002-05-08,13:28:39
26,2005-11-08,15:14:43
27,2000-01-14,20:20:09
28,2004-08-27,20:57:57
29,2011-04-24,1:19:01
30,1991-03-01,1:06:34
31,2010-06-14,0:06:58
32,1996-06-02,1:03:37
33,2008-12-14,2:45:08
34,2006-02-19,7:35:47
35,2003-04-19,16:32:39
36,2013-04-11,19:41:02
37,2019-02-28,8:54:03
38,2018-10-05,19:33:47
39,1990-12-06,10:40:14
40,2019-06-22,20:38:54
41,2000-11-30,9:23:46
42,1998-08-24,13:19:28
43,1999-05-01,1:52:16
44,1994-04-15,16:41:03
45,1990-06-04,12:46:25
46,1996-08-24,22:45:35
47,2010-02-21,6:05:46
48,1998-11-25,17:00:56
49,1993-01-06,10:21:05
50,2022-11-13,1:07:42
51,2015-12-13,7:46:41
52,1999-11-01,6:16:00
53,1995-12-27,10:26:24
54,2005-12-11,3:12:10
55,2008-05-10,9:10:47
56,2012-08-13,7:11:57
57,2022-05-01,10:42:04
58,1997-11-16,6:32:48
59,1995-03-09,18:24:09
60,2004-12-07,19:58:04
61,1991-11-26,17:50:20
62,2015-06-30,11:51:50
63,2010-12-15,7:01:21
64,1994-09-13,10:33:05
65,1993-06-09,14:48:52
66,2016-03-10,13:07:52
67,2004-09-29,19:20:53
68,2009-01-21,15:12:03
69,1994-04-16,6:22:07
70,2013-06-04,7:39:21
71,1992-12-04,18:05:08
72,2006-07-17,19:53:15
73,2001-01-30,0:36:57
74,2004-07-31,8:40:02
75,1996-03-30,13:20:48
76,2017-09-14,11:51:59
77,2019-11-26,8:50:27
78,2012-08-29,16:55:12
79,1991-04-02,9:29:28
80,2012-06-11,0:07:52
81,1999-01-14,4:50:47
82,2019-10-28,17:04:46
83,1994-10-15,11:12:21
84,2013-05-31,5:40:33
85,2020-06-04,19:26:10
86,2000-02-16,16:41:03
87,1998-05-06,15:29:38
88,2000-11-22,15:53:48
89,1990-02-14,16:28:00
90,2002-02-28,1:09:39
91,2015-12-07,23:55:10
92,1996-01-02,1:35:31
93,2011-09-14,19:57:28
94,2000-09-01,21:20:25
95,2019-06-24,18:35:19
96,2018-02-01,2:27:53
97,2010-10-27,7:03:57
98,2005-11-16,2:55:26
99,2017-01-30,11:10:44
100,1998-03-28,11:00:23
101,2011-01-23,23:22:27
102,2010-05-29,9:29:55
103,2017-12-26,3:39:34
104,2005-05-06,23:46:27
105,2016-06-08,20:43:00
106,1993-05-20,23:07:49
107,2017-07-24,14:35:48
108,1995-08-04,16:40:46
109,1994-09-05,9:02:50
110,1997-06-09,12:57:25
111,1992-10-01,13:47:59
112,2005-12-17,1:04:58
113,2019-09-19,21:21:56
114,2012-02-18,14:25:48
115,1996-01-12,12:41:08
116,2012-03-17,8:46:42
117,2019-08-08,8:48:12
118,2002-02-19,12:40:21
119,2021-10-18,20:00:32
120,2013-03-24,3:02:18
121,2019-05-06,20:22:55
122,2000-07-28,10:29:01
123,1993-11-19,0:30:49
124,1993-06-20,7:06:13
125,2019-02-20,17:46:06
126,2009-07-22,17:58:54
127,2006-09-29,5:53:45
128,2021-08-21,5:27:25
129,1994-01-30,6:16:23
130,2021-10-11,14:58:45
131,2005-12-22,9:56:06
132,2010-06-13,11:33:03
133,1994-08-14,18:40:28
134,1997-04-30,15:40:37
135,2018-02-07,15:42:27
136,2017-08-28,16:20:32
137,1999-12-20,3:11:58
138,2017-01-12,9:18:33
139,2002-01-31,3:12:11
140,2013-07-22,22:54:45
141,2017-05-05,23:33:52
142,2016-03-21,14:27:16
143,2010-01-07,7:05:26
144,2005-03-03,13:14:09
145,2016-12-12,23:58:04
146,2007-05-01,20:13:07
147,2019-09-09,21:34:05
148,1996-12-12,2:09:01
149,1991-10-04,16:18:45
150,2022-12-17,10:38:05
151,1998-11-18,6:44:43
152,2013-03-10,20:54:43
153,1990-07-02,19:47:20
154,2005-01-31,2:38:28
155,1995-08-12,22:22:35
156,2004-09-10,22:16:49
